Long_Name,Population,Primary_Category,Address,Zip,School_Latitude,School_Longitude,Attainment_Reading_Pct_ES,Attainment_Math_Pct_ES,School_Survey_Safety,Suspensions_Per_100_Students_Pct,Misconducts_To_Suspensions_Pct,Student_Attendance_Pct,Teacher_Attendance_Pct,Graduation_School_Pct,College_Enrollment_School_Pct,Chronic_Truancy_Pct,SAT_Grade_11_Score_School_Avg
Carroll-Rosenwald Specialty Elementary School,489,ES,2929 W 83RD ST,60652,41.742517,-87.696012,51,40,VERY STRONG,1.8,14.8,95,94.6,,,22.9,
Adlai E Stevenson Elementary School,1210,ES,8010 S KOSTNER AVE,60652,41.747107,-87.731666,69,61,STRONG,1.1,6.5,95.3,94.3,,,4.6,
Lionel Hampton Fine & Performing Arts ES,521,ES,3434 W 77TH ST,60652,41.753457,-87.708731,43,33,VERY WEAK,7.1,11.1,93.6,94.2,,,16.4,
Charles Gates Dawes Elementary School,964,ES,3810 W 81ST PL,60652,41.745078,-87.717353,72,85,NEUTRAL,2.2,7.6,95.4,93.3,,,5.3,
Milton Brunson Math & Science Specialty ES,481,ES,932 N CENTRAL AVE,60651,41.897663,-87.765606,13,8,VERY WEAK,1.5,27.6,93.4,94.1,,,31.9,
Alfred Nobel Elementary School,692,ES,4127 W HIRSCH ST,60651,41.906155,-87.729955,52,52,VERY WEAK,6.3,27.7,94.3,95.4,,,26.7,
West Park Elementary Academy,558,ES,1425 N TRIPP AVE,60651,41.906907,-87.732443,26,16,WEAK,18.1,28.1,93.5,94.7,,,30.8,
James Russell Lowell Elementary School,400,ES,3320 W HIRSCH ST,60651,41.90652,-87.710217,46,31,NEUTRAL,0.8,3.4,94,94.1,,,27.7,
Pablo Casals Elementary School,421,ES,3501 W POTOMAC AVE,60651,41.904503,-87.714234,74,82,STRONG,2.3,32.3,95.6,96,,,27.5,
Daniel R Cameron Elementary School,763,ES,1234 N MONTICELLO AVE,60651,41.903792,-87.717927,53,52,WEAK,2.9,31.4,94.7,95.8,,,20.6,
